Date,adj_log_return,realised_vol_21d
2010-02-03,-0.004995005,0.010380695578089653
2010-02-04,-0.031352464,0.012195406509539238
2010-02-05,0.00206489,0.0122202955218932
2010-02-08,-0.007245655,0.01213542197472469
2010-02-09,0.012482536,0.012553857566915948
2010-02-10,-0.001960487,0.01251429627249948
2010-02-11,0.0104118287774221,0.012777644178457564
2010-02-12,-0.000833099,0.012544601704069985
2010-02-16,0.0156126216370422,0.013131186619111088
2010-02-17,0.00472743,0.013041784154329933
2010-02-18,0.005877711,0.012769589496708814
2010-02-19,0.002071696,0.012642962221948294
2010-02-22,0.000179682,0.011931577014526865
2010-02-23,-0.012218827,0.011153499746244638
2010-02-24,0.009155699,0.011275624049885047
2010-02-25,-0.001354749,0.011233946094816
2010-02-26,0.000632426,0.01119362853672417
2010-03-01,0.0103313079836571,0.011044437799235165
2010-03-02,0.00276637,0.010676144328571507
2010-03-03,0.0008916,0.010229592349842975
2010-03-04,0.003022458,0.00994620880068075
2010-03-05,0.014192572,0.01024805197771433
2010-03-08,0.000174881,0.006898200870269213
2010-03-09,0.001660952,0.006902613483717994
2010-03-10,0.004445986,0.00646177429100619
2010-03-11,0.004166503,0.006158335773566883
2010-03-12,8.666735489271105e-05,0.006082958667087428
2010-03-15,0.000259693,0.005917283465588551
2010-03-16,0.007934139,0.005932530701462973
2010-03-17,0.005910085,0.00528933122051792
2010-03-18,-0.000512483,0.00533170638006361
2010-03-19,-0.005074619,0.00555103207171413
2010-03-22,0.005331588,0.005589188102151395
2010-03-23,0.007009076,0.005647319465849335
2010-03-24,-0.004866415,0.004839788107282694
2010-03-25,-0.001628052,0.004741881812366697
2010-03-26,-0.000599824,0.004712878518545727
2010-03-29,0.00632745,0.004753262362353632
2010-03-30,0.000681272,0.004460878262799685
2010-03-31,-0.003412309,0.004641480755794223
2010-04-01,0.006814218,0.00473755073940608
2010-04-05,0.008116085,0.004894891269824834
2010-04-06,0.00235506,0.00412870553874362
2010-04-07,-0.00572891,0.004457899774957841
2010-04-08,0.003458268,0.004470913896919633
2010-04-09,0.006545549,0.004552120071085374
2010-04-12,0.001588421,0.00452704717931637
2010-04-13,0.000751094,0.004515805215072816
2010-04-14,0.011285482336083,0.004929656149834583
2010-04-15,0.000824942,0.00477888061183898
2010-04-16,-0.016040634,0.006126274372583283
2010-04-19,0.003763198,0.006140829439961174
2010-04-20,0.008891224,0.006171027165851011
2010-04-21,-0.001821584,0.006173883420666777
2010-04-22,0.002978988,0.006060035979314796
2010-04-23,0.006506807,0.005975682844691525
2010-04-26,-0.003783411,0.006058750334364967
2010-04-27,-0.023934945,0.008272087405023922
2010-04-28,0.007567363,0.008318036806301603
2010-04-29,0.0123213884486634,0.008687344266671638
2010-04-30,-0.017107222,0.009537729404094447
2010-05-03,0.0128785804753066,0.009818788957517288
2010-05-04,-0.023795626,0.011056959492754545
2010-05-05,-0.005974422,0.011098748511070976
2010-05-06,-0.033777368,0.013198454087491516
2010-05-07,-0.014986876,0.013412842832578417
2010-05-10,0.043098695,0.01669806437246212
2010-05-11,-0.002844988,0.0166868154268417
2010-05-12,0.0138889746823371,0.017021539725286035
2010-05-13,-0.012508687,0.01695780037483957
2010-05-14,-0.018270662,0.017302247620304977
2010-05-17,0.000526272,0.01705371702873936
2010-05-18,-0.013695506,0.017173163930072278
2010-05-19,-0.005710287,0.016960204536838493
2010-05-20,-0.038490797,0.01856503667649221
2010-05-21,0.0144935472628127,0.018992529137340057
2010-05-24,-0.012914131,0.018880122492855908
2010-05-25,0.001020753,0.018935542964344534
2010-05-26,-0.006047121,0.018467455034906113
2010-05-27,0.032949933,0.020076383151674534
2010-05-28,-0.012629212,0.019825703017325752
2010-06-01,-0.016967003,0.019821358738520447
2010-06-02,0.025706301,0.020575125974308446
2010-06-03,0.003438222,0.02012765907854048
2010-06-04,-0.035768718,0.021371129334021327
2010-06-07,-0.012529799,0.020384035269421865
2010-06-08,0.010655436,0.02041378473334127
2010-06-09,-0.005360794,0.017602935065187782
2010-06-10,0.028812412,0.019034368930838326
2010-06-11,0.004844377,0.018737189745739832
2010-06-14,-0.001551118,0.018618935185890865
2010-06-15,0.022483086,0.019038128015183137
2010-06-16,-0.000357408,0.019036033743491183
2010-06-17,0.00160634,0.018810834660018858
2010-06-18,0.001083564,0.01876808106607477
2010-06-21,-0.002867933,0.016576913222825285
2010-06-22,-0.016653589,0.01678677662773638
2010-06-23,-0.003108255,0.016531580897384525
2010-06-24,-0.016709061,0.016971625776585442
2010-06-25,0.004180573,0.016934649341445365
2010-06-28,-0.003157036,0.015225875185611996
2010-06-29,-0.031361839,0.016431022782307177
2010-06-30,-0.009545574,0.01617249252805482
2010-07-01,-0.004466517,0.014904465856609699
2010-07-02,-0.005464216,0.014833885722694798
2010-07-06,0.006534145,0.013003991211608536
2010-07-07,0.0310104970258739,0.01454823117532785
2010-07-08,0.009846687,0.014521062953838983
2010-07-09,0.007437632,0.014532829184410257
2010-07-12,0.000648367,0.013071279185045703
2010-07-13,0.0149757207738874,0.01345075278467042
2010-07-14,-9.13e-05,0.013444927213074607
2010-07-15,0.000273614,0.01244821293840836
2010-07-16,-0.027920994,0.013783952258939858
2010-07-19,0.005889356,0.01387267640365546
2010-07-20,0.0110300365734428,0.01414599796754452
2010-07-21,-0.013083122,0.014372613178245907
2010-07-22,0.0220767898864373,0.01486038120363035
2010-07-23,0.00864168,0.014960256874041056
2010-07-26,0.0103614826367195,0.014563231226165776
2010-07-27,-8.94e-05,0.014558150735591026
2010-07-28,-0.006475691,0.014630175896387647
